Line,Word,Speaker,LineText
9,gret,Narrator,"With gret bobbaunce þat burȝe he biges vpon fyrst,"
46,glaum,Narrator,"Such glaum ande gle glorious to here,"
46,gle,Narrator,"Such glaum ande gle glorious to here,"
46,glorious,Narrator,"Such glaum ande gle glorious to here,"
58,gret,Narrator,Hit were now gret nye to neuen
74,grayþed,Narrator,"Whene Guenore, ful gay, grayþed in þe myddes,"
82,glent,Narrator,"Þer glent with yȝen gray,"
82,gray,Narrator,"Þer glent with yȝen gray,"
109,grayþed,Narrator,"There gode Gawan watz grayþed Gwenore bisyde,"
139,grete,Narrator,"And his lyndes and his lymes so longe and so grete,"
150,grene,Narrator,And oueral enker-grene.
151,grayþed,Narrator,Ande al grayþed in grene þis gome and his wedes:
151,grene,Narrator,Ande al grayþed in grene þis gome and his wedes:
167,grene,Narrator,"With gay gaudi of grene, þe golde ay inmyddes."
172,glemered,Narrator,Þat euer glemered and glent al of grene stones;
172,glent,Narrator,Þat euer glemered and glent al of grene stones;
172,grene,Narrator,Þat euer glemered and glent al of grene stones;
175,grene,Narrator,"A grene hors gret and þikke,"
175,gret,Narrator,"A grene hors gret and þikke,"
179,grene,Narrator,"Wel gay watz þis gome gered in grene,"
189,grene,Narrator,"Folden in wyth fildore aboute þe fayre grene,"
192,grene,Narrator,"And bounden boþe wyth a bande of a bryȝt grene,"
207,grattest,Narrator,"Þat is grattest in grene when greuez ar bare,"
207,grene,Narrator,"Þat is grattest in grene when greuez ar bare,"
207,greuez,Narrator,"Þat is grattest in grene when greuez ar bare,"
211,grayn,Narrator,"Þe grayn al of grene stele and of golde hewen,"
211,grene,Narrator,"Þe grayn al of grene stele and of golde hewen,"
214,grypte,Narrator,"Þe stele of a stif staf þe sturne hit bi grypte,"
216,grene,Narrator,And al bigrauen with grene in gracios werkes;
216,gracios,Narrator,And al bigrauen with grene in gracios werkes;
220,grene,Narrator,On botounz of þe bryȝt grene brayden ful ryche.
225,gladly,Green Knight,'Þe gouernour of þis gyng? Gladly I wolde
235,growe,Narrator,"As growe grene as þe gres and grener hit semed,"
235,grene,Narrator,"As growe grene as þe gres and grener hit semed,"
235,gres,Narrator,"As growe grene as þe gres and grener hit semed,"
235,grener,Narrator,"As growe grene as þe gres and grener hit semed,"
236,grene,Narrator,Þen grene aumayl on golde glowande bryȝter.
236,glowande,Narrator,Þen grene aumayl on golde glowande bryȝter.
273,grant,Green Knight,Þou wyl grant me godly þe gomen þat I ask
305,grene,Green Knight,"Bende his bresed broȝez, blycande grene,"
312,gryndellayk,Green Knight,"Your gryndellayk and your greme, and your grete wordes?"
312,greme,Green Knight,"Your gryndellayk and your greme, and your grete wordes?"
312,grete,Green Knight,"Your gryndellayk and your greme, and your grete wordes?"
316,greued,Narrator,Wyth þis he laȝes so loude þat þe lorde greued;
325,grete,Arthur,I know no gome þat is gast of þy grete wordes;
330,grypez,Narrator,"Now hatz Arthure his axe, and þe halme grypez,"
370,gladly,Narrator,"And gef hym Goddez blessyng, and gladly hym biddes"
377,grene,Arthur,"Þen carppez to Sir Gawan þe knyȝt in þe grene,"
390,grene,Narrator,"'Bigog,' quoþ þe grene knyȝt, 'Sir Gawan, me lykes"
405,grene,Narrator,Quoþ þe gome in þe grene to Gawan þe hende;
413,grymme,Narrator,"Ta now þy grymme tole to þe,"
415,gladly,Gawain,"'Gladly, sir, for soþe',"
